Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book
15.83,0.0,9.52,12.756,10.2,21.37,6.129,1.696,2.51,1.23
68.15,5.11,11.44,32.238,51.16,72.8,9.475,1.408,3.09,2.12
57.36,2.22,12.33,27.954,43.64,67.2,10.486,1.603,1.24,2.03
29.73,3.58,18.87,15.959,20.61,36.08,35.62,6.673,0.61,1.87
45.03,2.93,16.16,10.9,34.65,45.85,9.481,1.264,1.59,4.13
52.85,3.37,14.87,14.276,40.69,55.84,6.819,1.086,0.86,3.72
60.51,3.91,16.19,41.583,46.7,62.56,10.393,2.254,1.19,1.45
52.1,0.0,13.12,-6.775,39.82,50.68,32.711,7.046,1.11,-7.6900369003690034
67.85,3.3,20.25,50.267,53.25,71.13,30.261,5.3,2.13,1.35
19.23,1.51,6.52,21.183,18.15,48.64,1.259,0.4552,0.61,0.94
96.68,0.0,17.69,25.174,59.14,100.52,9.146,1.602,1.2,3.82
59.88,1.22,10.2,54.944,50.74,76.34,24.221,6.628,2.52,1.1
13.08,0.0,77.18,8.025,10.77,26.13,4.165,0.274,1.02,1.63
43.99,0.0,15.57,14.683,26.86,46.15,56.689,3.758,4.38,3.02
65.34,1.2,36.85,19.219,43.99,68.96,19.113,1.716,2.02,3.36
63.87,3.79,17.57,39.533,53.33,65.98,18.707,3.16,1.5,1.61
45.89,1.49,19.41,15.069,28.59,49.49,5.501,0.6728,2.66,3.03
44.98,2.16,3.936341659951652,30.524,34.59,46.94,14.655,3.723,1.13,1.47
55.62,0.95,26.02,7.296,40.755,65.6,21.621,1.658,2.26,7.57
26.99,0.0,22.32,9.976,19.84,30.0,56.644,5.018,2.7,2.71
54.54,1.9,13.46,15.362,32.445,55.53,7.537,1.251,1.05,3.56
51.25,2.39,15.9,14.328,39.5,53.78,37.597,4.902,1.53,3.51
109.99,0.6,21.32,49.499,66.81,119.97,29.7,5.469,2.92,2.21
60.2,2.63,41.47,18.89,48.46,65.72,18.118,1.306,8.58,3.19
55.72,1.55,22.92,24.373,43.69,73.1,8.335,0.9434,5.36,2.33
61.92,0.0,25.28,5.714,34.47,62.8,49.875,2.642,1.07,10.94
55.14,2.61,12.39,49.143,37.39,59.9,12.801,1.807,3.22,1.13
8.42,0.0,15.04,17.783,7.08,12.45,2.405,0.0,1.77,0.48
46.15,3.25,10.9,23.51,33.09,53.06,15.58,2.269,0.95,1.94
71.75,4.66,12.69,50.959,61.08,74.5,12.714,3.162,1.17,1.4
98.17,0.0,47.06,12.486,61.59,106.94,11.28,0.3846,6.33,7.87
38.92,3.7,16.52,25.83,36.27,45.45,33.199,6.706,1.64,1.49
36.68,1.46,21.04,9.871,34.83,47.73,7.791,0.6402,1.27,3.69
54.44,27.85,20.25,16.462,27.28,61.88,7.39,0.6882999999999999,2.07,3.4
9.35,1.61,2.12,3.954,8.82,13.05,35.683,11.257,0.27,2.36
42.08,1.57,31.95,5.406,29.55,55.05,12.462,0.6846,4.23,7.92
36.31,3.13,10.81,17.469,28.85,48.96,34.458,7.719,1.85,2.06
63.71,1.2,18.28,11.231,46.38,74.73,7.445,0.8877999999999999,0.83,5.78
87.8,0.6,13.83,46.457,64.07,97.19,27.833,5.367,0.66,1.91
45.85,4.8,16.86,31.857,40.37,51.14,19.175,3.991,1.18,1.44
102.23,0.0,30.09,16.227,69.01,139.46,8.077,0.4447,6.13,6.36
8.35,0.48,Infinity,8.919,5.38,10.99,2.078,0.0,1.48,0.93
20.51,4.69,13.45,5.623,14.36,23.89,2.136,0.2799,2.39,3.64
31.06,1.61,19.01,22.761,22.53,34.85,9.091,1.708,1.55,1.36
69.88,0.0,17.54,23.99,48.75,72.93,9.481,1.338,2.14,2.92
14.29,2.23,9.17,14.555,9.13,14.73,13.131,0.0,2.12,0.98
21.08,1.24,14.5,10.216,17.99,28.34,3.229,0.427,2.2,2.06
53.66,1.05,15.36,21.29,44.16,64.67,8.96,1.205,0.35,2.55
128.03,1.06,16.3,39.087,66.84,129.38,6.546,0.7427999999999999,1.41,3.27
54.61,0.61,19.67,9.608,31.905,56.445,7.499,0.8068,2.06,5.64
86.47,0.0,18.45,18.158,62.77,139.2,5.355,0.5194,2.05,4.77
33.76,0.0,11.62,21.372,28.47,36.44,8.97,1.076,2.1,1.57
21.43,0.0,3.3061369279886486,38.654,11.43,106.81,1.864,0.5638,0.6,0.56
48.11,0.0,26.96,6.703,34.46,55.19,11.469,0.7168,2.0,7.12
4.75,12.23,44.86,4.37,3.06,7.58,4.708,2.43,0.92,1.08
40.52,3.14,21.04,29.038,36.59,43.69,4.762,0.875,1.5,1.39
15.08,3.71,8.92,10.224,8.28,16.26,3.49,0.979,0.67,1.47
63.58,3.09,9.31,38.727,53.95,74.54,22.43,4.497,0.69,1.64
21.1,3.13,18.27,11.376,14.02,21.19,222.8,27.905,1.53,1.85
56.77,0.0,17.24,10.583,34.45,58.84,42.95,4.229,4.78,5.38
38.63,3.23,16.4,9.902,35.6,41.06,25.055,3.205,1.5,3.89
11.57,2.37,8.09,14.332,10.62,15.75,17.228,2.557,2.22,0.81
17.74,1.78,7.03,22.571,15.32,26.66,2.311,0.8218,0.24,0.75
4.84,0.0,7.32,32.175,4.06,9.68,2.379,1.408,0.23,0.15
642.0,0.0,19.04,197.957,480.6,670.25,210.0,15.451,4.87,3.24
64.13,2.94,16.77,18.838,48.18,66.5,9.947,1.06,0.78,3.41
34.21,1.38,21.17,6.145,15.08,34.92,16.736,2.042,1.14,5.6
103.02,1.46,15.49,134.476,84.27,128.72,51.139,0.0,1.96,0.77
11.74,0.0,11.53,1.827,8.53,15.8,2.873,1.836,0.13,6.4
200.74,1.43,20.98,40.1,129.27,221.84,13.99,1.289,1.65,5.1
35.19,1.03,10.98,15.702,26.28,47.9,32.648,6.485,1.17,2.23
45.68,0.71,10.26,23.499,25.53,52.75,3.22,0.39130000000000004,0.7,1.81
37.56,3.53,14.12,10.741,31.36,39.2,4.894,0.7375,1.17,3.48
6.445,2.5,10.32,6.131,4.46,6.83,5.532,0.0,2.16,1.04
6.61,4.87,Infinity,9.392,5.09,7.62,3.282,0.0,3.97,0.7
59.66,4.91,88.06,32.952,43.65,62.8,12.737,1.071,7.53,1.81
45.45,4.34,30.98,22.141,32.66,47.75,19.522,1.48,10.7,2.06
53.06,2.11,20.03,11.748,29.79,54.28,81.217,8.621,1.14,4.52
49.68,0.81,13.39,58.634,39.67,67.86,16.911,6.483,0.45,0.85
17.41,2.31,4.232013385387618,49.139,14.56,23.29,7.588,1.793,0.34,0.35
55.06,3.55,19.34,8.614,48.54,55.84,17.638,2.018,1.52,6.4
41.36,1.34,13.69,11.652,31.5,54.32,9.465,1.228,1.66,3.58
59.01,2.46,20.36,15.364,41.22,62.0,46.061,3.801,1.23,3.84
54.22,0.9,18.78,16.374,35.78,60.81,10.653,1.082,1.75,3.39
49.92,0.43,9.77,33.963,35.58,68.6,5.342,1.205,1.73,1.44
19.7,2.53,7.55,20.874,17.41,34.0,38.845,14.732,0.31,0.93
16.11,4.65,18.09,4.539,12.73,17.46,4.421,0.6917000000000001,1.58,3.55
28.3,2.05,16.25,10.639,25.87,30.7,7.453,0.814,0.92,2.66
45.64,2.68,227.8,17.391,32.68,45.92,5.107,1.26,0.94,2.62
34.15,0.0,12.04142643604527,18.025,26.92,47.12,5.639,0.4683,1.42,1.91
15.28,1.45,170.9,9.628,9.78,17.26,11.041,1.065,2.12,1.58
72.23,2.02,24.38,4.813,54.87,72.97,16.299,1.388,2.55,14.91
67.62,1.51,8.87,52.284,59.92,96.46,10.935,2.384,0.28,1.28
199.29,1.61,14.41,17.914,157.13,210.69,227.7,26.799,2.14,11.08
133.26,0.0,17.73,46.398,104.0,142.75,9.696,0.9509,6.99,2.87
61.43,2.03,18.96,14.781,51.2,63.78,4.98,0.54,1.78,4.13
11.37,2.16,15.62,3.798,10.92,18.17,3.328,0.7211000000000001,1.58,2.93
26.88,3.2,11.33,9.731,19.16,29.27,134.5,23.768,2.45,2.74
59.03,1.02,24.73,9.632,39.87,62.33,17.335,1.422,4.18,6.14
32.89,2.41,13.21,15.442,21.55,36.5,14.217,3.555,0.53,2.12
10.74,2.23,10.3,5.039,6.73,12.17,4.695,0.8496,0.67,2.14
45.08,1.25,18.17,23.603,25.86,45.62,13.896,1.902,0.96,1.9
33.69,3.06,37.15,7.222,27.1,34.77,5.783,0.9402999999999999,1.9,4.61
498.58,0.0,35.35,79.759,320.0,594.89,19.91,0.8482000000000001,10.06,6.24
57.31,2.54,11.85,21.324,39.12,58.27,27.102,3.445,1.48,2.66
23.7,2.3,15.11,18.341,14.52,26.94,10.552,0.9947,2.6,1.29
22.67,1.07,11.3,9.8,13.94,27.4,4.658,0.9903,0.27,2.3
26.11,2.7,10.32,16.953,23.37,35.95,17.859,2.894,0.42,1.53
23.4,2.71,7.456268221574343,18.022,19.06,43.18,5.115,0.686,0.29,1.23
10.9,0.0,14.06911928651059,4.637,8.47,15.17,2.524,0.1794,1.45,2.32
39.34,0.0,13.92,28.203,30.74,48.17,5.104,0.693,0.48,1.41
68.64,3.4,21.7,21.972,60.83,69.75,189.2,19.627,2.9,3.11
19.24,0.0,40.5,13.66,14.01,25.61,10.154,0.6177,2.36,1.42
57.24,1.23,8.64,21.996,47.69,96.0,6.058,1.224,1.17,2.58
36.97,2.98,8.53,48.248,27.85,46.49,140.8,0.0,1.6,0.77
56.13,1.82,17.23,9.986,37.28,57.75,11.676,1.641,1.02,5.52
50.98,3.39,15.45,6.008,46.33,55.3,18.251,2.324,1.37,8.45
8.34,1.68,9.5,10.433,5.59,8.82,7.885,0.0,1.97,0.8
40.92,2.82,20.43,20.398,31.88,41.5,72.715,8.905,1.34,2.01
19.56,3.84,50.31,12.32,13.55,20.09,7.96,0.5587000000000001,8.47,1.58
53.12,2.73,11.95,19.861,33.2,55.43,8.868,1.108,2.79,2.67
82.82,3.48,18.29,14.506,64.31,88.25,32.681,3.994,1.55,5.71
34.64,3.57,281.97,16.89,23.51,40.25,29.167,2.917,3.59,2.12
28.99,0.0,16.39,12.353,22.77,35.17,6.62,0.7787000000000001,0.64,2.35
78.79,2.47,20.98,14.335,63.34,81.33,177.4,12.984,3.75,5.53
22.5,1.53,21.52,7.432,20.98,24.83,12.255,3.911,0.13,3.03
51.0,2.22,11.93,26.033,42.14,56.66,12.229,2.876,0.65,1.98
40.51,0.62,18.79,49.308,32.9,41.8,16.026,3.377,1.15,0.82
23.12,4.83,20.83,9.587,18.37,24.84,3.248,0.4003,0.88,2.42
31.2,0.51,12.47,16.787,12.14,31.9,5.907,0.2236,1.74,1.88
88.5,0.0,15.1,27.472,74.57,95.3,8.487,1.279,1.51,3.22
47.59,0.0,19.42,26.334,35.3,50.84,8.479,1.246,2.19,1.79
70.39,2.7,7.79,70.347,58.3,74.79,6.796,1.846,0.45,1.0
33.13,2.97,19.42,3.144,26.16,34.5,7.762,0.6377,6.11,10.5
43.6,3.44,11.84,12.792,34.66,44.67,48.775,6.88,2.04,3.34
25.75,1.35,24.19,40.589,22.36,29.56,3.636,0.44530000000000003,1.42,0.64
91.03,4.14,10.53,6.84,68.07,92.24,29.33,4.942,0.61,13.24
22.94,1.25,28.71,50.276,13.75,27.54,6.471,1.547,0.61,0.46
123.8,4.62,15.18,-11.969,100.63,141.07,16.17,2.042,3.58,-10.343387083298522
26.77,2.16,17.72,12.808,18.28,32.29,31.501,5.466,0.62,2.1
35.54,0.0,26.34,38.298,33.24,45.48,4.762,0.3394,1.79,0.93
7.7,0.0,27.96,2.064,4.75,9.2,4.34,0.3835,1.84,3.71
49.29,1.82,18.86,-0.449,33.13,51.84,14.349,1.847,1.4,-109.7772828507795
22.19,1.13,44.53,24.909,19.58,30.04,5.427,0.7589,1.07,0.89
9.07,0.28,20.83,9.205,7.15,10.05,6.74,1.722,0.39,0.98
19.9,4.09,6.12,20.205,16.1,38.34,1.407,0.6291,0.35,0.97
38.0,1.57,12.48,14.602,22.66,42.17,15.7,3.52,0.59,2.61
426.03,0.21,25.53,50.161,293.01,466.98,53.168,3.995,7.46,8.49
36.94,1.15,61.74,-3.483,25.49,40.45,11.923,1.004,4.06,-10.605799598047659
12.97,2.29,8.561922365988908,1.231,6.6,14.68,4.632,0.541,0.62,10.64
35.65,3.05,15.94,7.6,23.5,35.69,12.154,1.252,1.94,4.66
88.2,3.11,16.37,13.918,83.65,102.22,88.944,9.851,3.2,6.26
35.06,4.0,22.5,10.431,29.3,38.88,6.782,0.4773,4.96,3.34
